ID,reliance,overreliance,underreliance,matching_decision,task
O20,undefined,undefined,undefined,1,1
O21,undefined,undefined,undefined,1,1
O22,undefined,undefined,undefined,1,1
O23,undefined,undefined,undefined,1,1
O24,undefined,undefined,undefined,1,1
O25,undefined,undefined,undefined,1,1
O26,undefined,undefined,undefined,1,1
O27,undefined,undefined,undefined,1,1
O28,undefined,undefined,undefined,1,1
O29,1,undefined,0,0,1
O30,undefined,undefined,undefined,1,1
O31,1,undefined,0,0,1
O32,undefined,undefined,undefined,1,1
O33,1,undefined,0,0,1
O34,undefined,undefined,undefined,1,1
OX20,undefined,undefined,undefined,1,1
OX21,undefined,undefined,undefined,1,1
OX22,undefined,undefined,undefined,1,1
OX23,undefined,undefined,undefined,1,1
OX24,undefined,undefined,undefined,1,1
OX25,undefined,undefined,undefined,1,1
OX26,0,undefined,1,0,1
OX27,undefined,undefined,undefined,1,1
OX28,undefined,undefined,undefined,1,1
OX29,undefined,undefined,undefined,1,1
OX30,undefined,undefined,undefined,1,1
OX31,undefined,undefined,undefined,1,1
OX32,0,undefined,1,0,1
OX33,1,undefined,0,0,1
OX34,undefined,undefined,undefined,1,1
O20,1,undefined,0,0,2
O21,undefined,undefined,undefined,1,2
O22,1,undefined,0,0,2
O23,1,undefined,0,0,2
O24,0,undefined,1,0,2
O25,0,undefined,1,0,2
O26,0,undefined,1,0,2
O27,1,undefined,0,0,2
O28,1,undefined,0,0,2
O29,0,undefined,1,0,2
O30,1,undefined,0,0,2
O31,1,undefined,0,0,2
O32,undefined,undefined,undefined,1,2
O33,undefined,undefined,undefined,1,2
O34,1,undefined,0,0,2
OX20,undefined,undefined,undefined,1,2
OX21,undefined,undefined,undefined,1,2
OX22,1,undefined,0,0,2
OX23,1,undefined,0,0,2
OX24,0,undefined,1,0,2
OX25,1,undefined,0,0,2
OX26,0,undefined,1,0,2
OX27,undefined,undefined,undefined,1,2
OX28,undefined,undefined,undefined,1,2
OX29,1,undefined,0,0,2
OX30,undefined,undefined,undefined,1,2
OX31,1,undefined,0,0,2
OX32,0,undefined,1,0,2
OX33,undefined,undefined,undefined,1,2
OX34,1,undefined,0,0,2
O20,1,undefined,0,0,3
O21,1,undefined,0,0,3
O22,undefined,undefined,undefined,1,3
O23,undefined,undefined,undefined,1,3
O24,undefined,undefined,undefined,1,3
O25,1,undefined,0,0,3
O26,1,undefined,0,0,3
O27,undefined,undefined,undefined,1,3
O28,undefined,undefined,undefined,1,3
O29,undefined,undefined,undefined,1,3
O30,undefined,undefined,undefined,1,3
O31,undefined,undefined,undefined,1,3
O32,undefined,undefined,undefined,1,3
O33,1,undefined,0,0,3
O34,undefined,undefined,undefined,1,3
OX20,undefined,undefined,undefined,1,3
OX21,undefined,undefined,undefined,1,3
OX22,undefined,undefined,undefined,1,3
OX23,undefined,undefined,undefined,1,3
OX24,undefined,undefined,undefined,1,3
OX25,1,undefined,0,0,3
OX26,undefined,undefined,undefined,1,3
OX27,undefined,undefined,undefined,1,3
OX28,1,undefined,0,0,3
OX29,undefined,undefined,undefined,1,3
OX30,1,undefined,0,0,3
OX31,undefined,undefined,undefined,1,3
OX32,undefined,undefined,undefined,1,3
OX33,undefined,undefined,undefined,1,3
OX34,1,undefined,0,0,3
O20,undefined,undefined,undefined,1,4
O21,undefined,undefined,undefined,1,4
O22,undefined,undefined,undefined,1,4
O23,1,undefined,0,0,4
O24,1,undefined,0,0,4
O25,undefined,undefined,undefined,1,4
O26,undefined,undefined,undefined,1,4
O27,undefined,undefined,undefined,1,4
O28,1,undefined,0,0,4
O29,1,undefined,0,0,4
O30,undefined,undefined,undefined,1,4
O31,undefined,undefined,undefined,1,4
O32,1,undefined,0,0,4
O33,1,undefined,0,0,4
O34,undefined,undefined,undefined,1,4
OX20,undefined,undefined,undefined,1,4
OX21,undefined,undefined,undefined,1,4
OX22,undefined,undefined,undefined,1,4
OX23,undefined,undefined,undefined,1,4
OX24,undefined,undefined,undefined,1,4
OX25,undefined,undefined,undefined,1,4
OX26,undefined,undefined,undefined,1,4
OX27,undefined,undefined,undefined,1,4
OX28,undefined,undefined,undefined,1,4
OX29,undefined,undefined,undefined,1,4
OX30,undefined,undefined,undefined,1,4
OX31,undefined,undefined,undefined,1,4
OX32,1,undefined,0,0,4
OX33,undefined,undefined,undefined,1,4
OX34,undefined,undefined,undefined,1,4
O20,undefined,undefined,undefined,1,5
O21,undefined,undefined,undefined,1,5
O22,undefined,undefined,undefined,1,5
O23,undefined,undefined,undefined,1,5
O24,1,1,undefined,0,5
O25,undefined,undefined,undefined,1,5
O26,undefined,undefined,undefined,1,5
O27,1,1,undefined,0,5
O28,undefined,undefined,undefined,1,5
O29,undefined,undefined,undefined,1,5
O30,1,1,undefined,0,5
O31,undefined,undefined,undefined,1,5
O32,undefined,undefined,undefined,1,5
O33,1,1,undefined,0,5
O34,1,1,undefined,0,5
OX20,undefined,undefined,undefined,1,5
OX21,undefined,undefined,undefined,1,5
OX22,1,1,undefined,0,5
OX23,undefined,undefined,undefined,1,5
OX24,undefined,undefined,undefined,1,5
OX25,0,0,undefined,0,5
OX26,undefined,undefined,undefined,1,5
OX27,undefined,undefined,undefined,1,5
OX28,undefined,undefined,undefined,1,5
OX29,undefined,undefined,undefined,1,5
OX30,undefined,undefined,undefined,1,5
OX31,1,1,undefined,0,5
OX32,undefined,undefined,undefined,1,5
OX33,undefined,undefined,undefined,1,5
OX34,undefined,undefined,undefined,1,5
O20,undefined,undefined,undefined,1,6
O21,undefined,undefined,undefined,1,6
O22,1,undefined,0,0,6
O23,undefined,undefined,undefined,1,6
O24,0,undefined,1,0,6
O25,0,undefined,1,0,6
O26,0,undefined,1,0,6
O27,undefined,undefined,undefined,1,6
O28,undefined,undefined,undefined,1,6
O29,1,undefined,0,0,6
O30,undefined,undefined,undefined,1,6
O31,undefined,undefined,undefined,1,6
O32,1,undefined,0,0,6
O33,undefined,undefined,undefined,1,6
O34,undefined,undefined,undefined,1,6
OX20,undefined,undefined,undefined,1,6
OX21,undefined,undefined,undefined,1,6
OX22,undefined,undefined,undefined,1,6
OX23,1,undefined,0,0,6
OX24,1,undefined,0,0,6
OX25,1,undefined,0,0,6
OX26,0,undefined,1,0,6
OX27,undefined,undefined,undefined,1,6
OX28,undefined,undefined,undefined,1,6
OX29,undefined,undefined,undefined,1,6
OX30,undefined,undefined,undefined,1,6
OX31,undefined,undefined,undefined,1,6
OX32,0,undefined,1,0,6
OX33,undefined,undefined,undefined,1,6
OX34,undefined,undefined,undefined,1,6
O20,0,undefined,1,0,7
O21,0,undefined,1,0,7
O22,1,undefined,0,0,7
O23,1,undefined,0,0,7
O24,undefined,undefined,undefined,1,7
O25,0,undefined,1,0,7
O26,1,undefined,0,0,7
O27,1,undefined,0,0,7
O28,1,undefined,0,0,7
O29,1,undefined,0,0,7
O30,0,undefined,1,0,7
O31,1,undefined,0,0,7
O32,undefined,undefined,undefined,1,7
O33,1,undefined,0,0,7
O34,1,undefined,0,0,7
OX20,0,undefined,1,0,7
OX21,1,undefined,0,0,7
OX22,0,undefined,1,0,7
OX23,1,undefined,0,0,7
OX24,1,undefined,0,0,7
OX25,0,undefined,1,0,7
OX26,0,undefined,1,0,7
OX27,1,undefined,0,0,7
OX28,1,undefined,0,0,7
OX29,0,undefined,1,0,7
OX30,0,undefined,1,0,7
OX31,0,undefined,1,0,7
OX32,0,undefined,1,0,7
OX33,1,undefined,0,0,7
OX34,1,undefined,0,0,7
O20,undefined,undefined,undefined,1,8
O21,undefined,undefined,undefined,1,8
O22,undefined,undefined,undefined,1,8
O23,1,undefined,0,0,8
O24,undefined,undefined,undefined,1,8
O25,undefined,undefined,undefined,1,8
O26,undefined,undefined,undefined,1,8
O27,undefined,undefined,undefined,1,8
O28,undefined,undefined,undefined,1,8
O29,1,undefined,0,0,8
O30,undefined,undefined,undefined,1,8
O31,undefined,undefined,undefined,1,8
O32,undefined,undefined,undefined,1,8
O33,1,undefined,0,0,8
O34,1,undefined,0,0,8
OX20,undefined,undefined,undefined,1,8
OX21,undefined,undefined,undefined,1,8
OX22,undefined,undefined,undefined,1,8
OX23,undefined,undefined,undefined,1,8
OX24,1,undefined,0,0,8
OX25,undefined,undefined,undefined,1,8
OX26,undefined,undefined,undefined,1,8
OX27,undefined,undefined,undefined,1,8
OX28,undefined,undefined,undefined,1,8
OX29,undefined,undefined,undefined,1,8
OX30,undefined,undefined,undefined,1,8
OX31,undefined,undefined,undefined,1,8
OX32,undefined,undefined,undefined,1,8
OX33,undefined,undefined,undefined,1,8
OX34,undefined,undefined,undefined,1,8
O20,1,undefined,0,0,9
O21,1,undefined,0,0,9
O22,undefined,undefined,undefined,1,9
O23,1,undefined,0,0,9
O24,0,undefined,1,0,9
O25,undefined,undefined,undefined,1,9
O26,undefined,undefined,undefined,1,9
O27,undefined,undefined,undefined,1,9
O28,undefined,undefined,undefined,1,9
O29,1,undefined,0,0,9
O30,undefined,undefined,undefined,1,9
O31,0,undefined,1,0,9
O32,undefined,undefined,undefined,1,9
O33,undefined,undefined,undefined,1,9
O34,undefined,undefined,undefined,1,9
OX20,undefined,undefined,undefined,1,9
OX21,undefined,undefined,undefined,1,9
OX22,undefined,undefined,undefined,1,9
OX23,undefined,undefined,undefined,1,9
OX24,undefined,undefined,undefined,1,9
OX25,undefined,undefined,undefined,1,9
OX26,undefined,undefined,undefined,1,9
OX27,undefined,undefined,undefined,1,9
OX28,undefined,undefined,undefined,1,9
OX29,undefined,undefined,undefined,1,9
OX30,undefined,undefined,undefined,1,9
OX31,undefined,undefined,undefined,1,9
OX32,undefined,undefined,undefined,1,9
OX33,undefined,undefined,undefined,1,9
OX34,undefined,undefined,undefined,1,9
O20,0,0,undefined,0,10
O21,1,1,undefined,0,10
O22,1,1,undefined,0,10
O23,1,1,undefined,0,10
O24,undefined,undefined,undefined,1,10
O25,undefined,undefined,undefined,1,10
O26,0,0,undefined,0,10
O27,undefined,undefined,undefined,1,10
O28,1,1,undefined,0,10
O29,1,1,undefined,0,10
O30,0,0,undefined,0,10
O31,1,1,undefined,0,10
O32,1,1,undefined,0,10
O33,undefined,undefined,undefined,1,10
O34,1,1,undefined,0,10
OX20,undefined,undefined,undefined,1,10
OX21,undefined,undefined,undefined,1,10
OX22,undefined,undefined,undefined,1,10
OX23,1,1,undefined,0,10
OX24,undefined,undefined,undefined,1,10
OX25,undefined,undefined,undefined,1,10
OX26,0,0,undefined,0,10
OX27,undefined,undefined,undefined,1,10
OX28,undefined,undefined,undefined,1,10
OX29,undefined,undefined,undefined,1,10
OX30,undefined,undefined,undefined,1,10
OX31,0,0,undefined,0,10
OX32,0,0,undefined,0,10
OX33,undefined,undefined,undefined,1,10
OX34,undefined,undefined,undefined,1,10
O20,1,undefined,0,0,11
O21,1,undefined,0,0,11
O22,1,undefined,0,0,11
O23,1,undefined,0,0,11
O24,0,undefined,1,0,11
O25,1,undefined,0,0,11
O26,undefined,undefined,undefined,1,11
O27,undefined,undefined,undefined,1,11
O28,1,undefined,0,0,11
O29,0,undefined,1,0,11
O30,undefined,undefined,undefined,1,11
O31,1,undefined,0,0,11
O32,undefined,undefined,undefined,1,11
O33,0,undefined,1,0,11
O34,undefined,undefined,undefined,1,11
OX20,undefined,undefined,undefined,1,11
OX21,undefined,undefined,undefined,1,11
OX22,undefined,undefined,undefined,1,11
OX23,undefined,undefined,undefined,1,11
OX24,1,undefined,0,0,11
OX25,1,undefined,0,0,11
OX26,undefined,undefined,undefined,1,11
OX27,1,undefined,0,0,11
OX28,undefined,undefined,undefined,1,11
OX29,undefined,undefined,undefined,1,11
OX30,undefined,undefined,undefined,1,11
OX31,undefined,undefined,undefined,1,11
OX32,undefined,undefined,undefined,1,11
OX33,1,undefined,0,0,11
OX34,undefined,undefined,undefined,1,11
O20,undefined,undefined,undefined,1,12
O21,undefined,undefined,undefined,1,12
O22,undefined,undefined,undefined,1,12
O23,undefined,undefined,undefined,1,12
O24,1,undefined,0,0,12
O25,undefined,undefined,undefined,1,12
O26,undefined,undefined,undefined,1,12
O27,undefined,undefined,undefined,1,12
O28,undefined,undefined,undefined,1,12
O29,1,undefined,0,0,12
O30,undefined,undefined,undefined,1,12
O31,undefined,undefined,undefined,1,12
O32,undefined,undefined,undefined,1,12
O33,undefined,undefined,undefined,1,12
O34,undefined,undefined,undefined,1,12
OX20,undefined,undefined,undefined,1,12
OX21,undefined,undefined,undefined,1,12
OX22,undefined,undefined,undefined,1,12
OX23,undefined,undefined,undefined,1,12
OX24,undefined,undefined,undefined,1,12
OX25,undefined,undefined,undefined,1,12
OX26,undefined,undefined,undefined,1,12
OX27,undefined,undefined,undefined,1,12
OX28,undefined,undefined,undefined,1,12
OX29,undefined,undefined,undefined,1,12
OX30,undefined,undefined,undefined,1,12
OX31,undefined,undefined,undefined,1,12
OX32,undefined,undefined,undefined,1,12
OX33,undefined,undefined,undefined,1,12
OX34,undefined,undefined,undefined,1,12
O20,undefined,undefined,undefined,1,13
O21,undefined,undefined,undefined,1,13
O22,undefined,undefined,undefined,1,13
O23,1,1,undefined,0,13
O24,0,0,undefined,0,13
O25,undefined,undefined,undefined,1,13
O26,undefined,undefined,undefined,1,13
O27,1,1,undefined,0,13
O28,1,1,undefined,0,13
O29,1,1,undefined,0,13
O30,undefined,undefined,undefined,1,13
O31,undefined,undefined,undefined,1,13
O32,1,1,undefined,0,13
O33,undefined,undefined,undefined,1,13
O34,undefined,undefined,undefined,1,13
OX20,undefined,undefined,undefined,1,13
OX21,0,0,undefined,0,13
OX22,0,0,undefined,0,13
OX23,1,1,undefined,0,13
OX24,0,0,undefined,0,13
OX25,0,0,undefined,0,13
OX26,0,0,undefined,0,13
OX27,0,0,undefined,0,13
OX28,0,0,undefined,0,13
OX29,0,0,undefined,0,13
OX30,0,0,undefined,0,13
OX31,0,0,undefined,0,13
OX32,0,0,undefined,0,13
OX33,undefined,undefined,undefined,1,13
OX34,1,1,undefined,0,13
O20,undefined,undefined,undefined,1,14
O21,0,undefined,1,0,14
O22,1,undefined,0,0,14
O23,undefined,undefined,undefined,1,14
O24,undefined,undefined,undefined,1,14
O25,undefined,undefined,undefined,1,14
O26,1,undefined,0,0,14
O27,1,undefined,0,0,14
O28,undefined,undefined,undefined,1,14
O29,undefined,undefined,undefined,1,14
O30,undefined,undefined,undefined,1,14
O31,1,undefined,0,0,14
O32,0,undefined,1,0,14
O33,0,undefined,1,0,14
O34,1,undefined,0,0,14
OX20,1,undefined,0,0,14
OX21,undefined,undefined,undefined,1,14
OX22,undefined,undefined,undefined,1,14
OX23,undefined,undefined,undefined,1,14
OX24,undefined,undefined,undefined,1,14
OX25,undefined,undefined,undefined,1,14
OX26,0,undefined,1,0,14
OX27,undefined,undefined,undefined,1,14
OX28,undefined,undefined,undefined,1,14
OX29,undefined,undefined,undefined,1,14
OX30,undefined,undefined,undefined,1,14
OX31,undefined,undefined,undefined,1,14
OX32,undefined,undefined,undefined,1,14
OX33,undefined,undefined,undefined,1,14
OX34,undefined,undefined,undefined,1,14
O20,1,undefined,0,0,15
O21,1,undefined,0,0,15
O22,undefined,undefined,undefined,1,15
O23,undefined,undefined,undefined,1,15
O24,undefined,undefined,undefined,1,15
O25,undefined,undefined,undefined,1,15
O26,1,undefined,0,0,15
O27,undefined,undefined,undefined,1,15
O28,1,undefined,0,0,15
O29,undefined,undefined,undefined,1,15
O30,undefined,undefined,undefined,1,15
O31,1,undefined,0,0,15
O32,undefined,undefined,undefined,1,15
O33,1,undefined,0,0,15
O34,1,undefined,0,0,15
OX20,1,undefined,0,0,15
OX21,undefined,undefined,undefined,1,15
OX22,1,undefined,0,0,15
OX23,undefined,undefined,undefined,1,15
OX24,undefined,undefined,undefined,1,15
OX25,undefined,undefined,undefined,1,15
OX26,0,undefined,1,0,15
OX27,undefined,undefined,undefined,1,15
OX28,undefined,undefined,undefined,1,15
OX29,undefined,undefined,undefined,1,15
OX30,undefined,undefined,undefined,1,15
OX31,undefined,undefined,undefined,1,15
OX32,undefined,undefined,undefined,1,15
OX33,undefined,undefined,undefined,1,15
OX34,undefined,undefined,undefined,1,15
